Record Date,Debt Held by the Public,Intragovernmental Holdings,Total Public Debt Outstanding,Source Line Number,Fiscal Year,Fiscal Quarter Number,Calendar Year,Calendar Quarter Number,Calendar Month Number,Calendar Day Number
4/25/2024,27443700000000.00,7111290000000.00,34555000000000.00,1,2024,3,2024,2,4,25
4/24/2024,27461600000000.00,7110050000000.00,34571600000000.00,1,2024,3,2024,2,4,24
4/23/2024,27461300000000.00,7120620000000.00,34581900000000.00,1,2024,3,2024,2,4,23
4/22/2024,27486500000000.00,7105300000000.00,34591800000000.00,1,2024,3,2024,2,4,22
4/19/2024,27484900000000.00,7100670000000.00,34585500000000.00,1,2024,3,2024,2,4,19
4/18/2024,27485300000000.00,7097790000000.00,34583100000000.00,1,2024,3,2024,2,4,18
4/17/2024,27491000000000.00,7085470000000.00,34576500000000.00,1,2024,3,2024,2,4,17
4/16/2024,27491000000000.00,7099990000000.00,34591000000000.00,1,2024,3,2024,2,4,16
4/15/2024,27525700000000.00,7077550000000.00,34603200000000.00,1,2024,3,2024,2,4,15
4/12/2024,27509600000000.00,7043580000000.00,34553200000000.00,1,2024,3,2024,2,4,12
4/11/2024,27509700000000.00,7041110000000.00,34550800000000.00,1,2024,3,2024,2,4,11
4/10/2024,27524700000000.00,7036330000000.00,34561000000000.00,1,2024,3,2024,2,4,10
4/9/2024,27523800000000.00,7057170000000.00,34581000000000.00,1,2024,3,2024,2,4,9
4/8/2024,27559200000000.00,7049260000000.00,34608400000000.00,1,2024,3,2024,2,4,8
4/5/2024,27558100000000.00,7042580000000.00,34600600000000.00,1,2024,3,2024,2,4,5
4/4/2024,27558000000000.00,7040990000000.00,34599000000000.00,1,2024,3,2024,2,4,4
4/3/2024,27570700000000.00,7033600000000.00,34604300000000.00,1,2024,3,2024,2,4,3
4/2/2024,27571000000000.00,7051270000000.00,34622300000000.00,1,2024,3,2024,2,4,2
4/1/2024,27597000000000.00,7030200000000.00,34627200000000.00,1,2024,3,2024,2,4,1
3/29/2024,27511500000000.00,7075080000000.00,34586500000000.00,1,2024,2,2024,1,3,29
3/28/2024,27511700000000.00,7066870000000.00,34578600000000.00,1,2024,2,2024,1,3,28
3/27/2024,27503300000000.00,7069910000000.00,34573200000000.00,1,2024,2,2024,1,3,27
3/26/2024,27500800000000.00,7093630000000.00,34594400000000.00,1,2024,2,2024,1,3,26
3/25/2024,27512600000000.00,7085610000000.00,34598200000000.00,1,2024,2,2024,1,3,25
3/22/2024,27511500000000.00,7070620000000.00,34582100000000.00,1,2024,2,2024,1,3,22
3/21/2024,27511200000000.00,7066800000000.00,34578000000000.00,1,2024,2,2024,1,3,21
3/20/2024,27495300000000.00,7065860000000.00,34561200000000.00,1,2024,2,2024,1,3,20
3/19/2024,27495600000000.00,7086740000000.00,34582300000000.00,1,2024,2,2024,1,3,19
3/18/2024,27486900000000.00,7064470000000.00,34551400000000.00,1,2024,2,2024,1,3,18
